src	tgt
उल्लू	उल्लू
एजेंट	आढ़तिया
एजेंट	नुमाइंदा
एहसानमंद	शुक्रगुज़ार
ऐसा	ऐसा
ऐसे	ऐसे
औंठ	लब्बड़
ओखल	उख्खल़
ओखली	उख्खल़
ओछापन	ओछापण
ओझल	परें
अज्ञानता	गुंआरपणा
अज्ञानता	कमअक्ली
अज्ञानता	नासमझी
अज्ञानी	अणपढ़
अज्ञानी	भोंदू
अज्ञानी	घोंचू,
अज्ञेय	अणसमझा
अटकना	रुकणा
अटकना	अटकणा
अतिबल	जिरहड़ा
अतिबल	मज़बूत
अतिसार	आँव
अतिसार	जुलाव
अतिसार	दस्त
अधेड़	अद्धखड़
अध्ययन	पढ़णा
कीरत	कीरत
किरदार	व्यवहार
किशमिश	दाख
कीकर	कीकर
कीड़ा	जीजू
कुड़ी	बिट्टी
कुड़ी	कुड़ी
कुतूहल	काहळी
घासलेट	मिट्टी तेल
चापलूस	मिट्ठ-जीभड़ा
त्रिकालदर्शी	त्रकाळ दर्शी
त्रिकालज्ञ	त्रकाळ वेत्ता
थापी	थापी
थाह	टोह
थाह	भेद
थोहड	त्रोट
थोडा	घट्ट
थकाऊ	थकाणे वाळा
थप्पड़	चंड
थप्पड़	चपेड़
थपडना	चण्डणा
दंगा	कलह
दंगाई	दंगाई
दंगल	दंगल
दंड	डन
चिंतित	खज्जळ
चिन्ह	नसाण
चिकित्सक	वैद
चिकोटी	चींडू
चिंतन	चिंद
चिंतक	चिंदणे वाळा
चिन्ह	नशाण
ठूंसना	ठूंसणा
ठूंसना	तूही तूही खाणा
ठूंसना	जिक्की जिक्की पाणा
ठैंगा	किछ नीदैणा
ठेकेदार	दैणैं आळा
ठेकेदार	ठेक्के पर कम्म करनैं आळा
ठेठ	गैह्रा
ठेठ	डुग्गा
ठेलना	धक्कणा
ठेलना	धक्का दैणा
ठेलना	चलाणा
ठेलना	धक्केलणा
ठेला	गड्डा
ठेला	रेह्ड़ा
ठेला	रुक्खे दा मोटा मोच्छा
ठोडी	छूह्नी
ठोस	सख्त
ठीक	बधिया
ठीक	सेही
डंक	ठचाह्का
डंक	पटाका
डंक	सटाका
डण्डा	छुज्जकणी
डण्डा	सोह्ठा
डण्डा	बीण्डा
डंठल	भरोह्टू
डसना	कट्टणा
डसना	पुड़ना
डसना	लड़णा
डण्ड	सोह्ठा
डकैत	खूनी लुटेरा
डकैत	खूंखार चोर
डकैती	लूटपाट
डकैती	डराई-धम्घाई के लुट्टणैं
डगमग	कम्बणी
डगमग	कम्बणा
डगमग	डरी जाणा
डगमग	घब्बराह्णां
डगर	रस्ता
डटना	लग्गेयां रैह्णा
डपटना	झिड़कणा
डपटना	जरकाणा
डपटना	डराणा
डफली	गोळ थाळिया साहीं ढोलकी
डफाली	कट्ठरोह्या डुग्गा तळा
डफाल	आळ
डफाल	बड्डा डिब्बर
डफाल	डुग्गा पाणी
डब्बा	डब्बी
डर	भौ
डरना	घब्बराणा
डराना	जरकाणा
डरावना	डरौणा
डली	ढेल्लू
डली	टुक्कड़ा
डांटना	झिड़कणा
डांवांडोल	ढिल्ला
डांवांडोल	ढिल्लम-ढिल्ला
डाक्टर	बैद
डाढ	गैह्रा
डाढी	गैह्री
डायल	फेरना
डायल	चलाणा
डाल	पायैं
डाल	पाई देह
डालना	पाणा
डालना	पाई दैणा
डाली	पाई
डाली	रुक्खेदी डाळी
डाह	ठोह्कर
डिगना	गिरना
डिगना	पौणा
डिगना	ढैणा
डिगना	टिरना
डिगाना	फैंकणा
डिगाना	टराणा
डिगाना	ढाणा
डिगाना	रड़काणा
डिजाइन	डजैन
डपट	घरीस चढ़ाणी
डपट	झिड़क लगाणी
डिसमिस	मुकाणा
डुबकी	गोत्ता
डुबोना	डबाणा
डुबोना	डोबणा
डुबाना	डबाणा
डुबाना	डोबणा
डेढ	डैह्ड
डेस्कटॉप	अग्गैं-मुहैं
गंदला	मैला
गंध	खुस्बू
गंवाना	खुआणा
गंवार	ग्रौंचड़
गंवार	पैंडू
गंवार	मूरख
गांव	पिंड
गया	गेया
गठरी	कठड़ी
गठरी	गंह्ड
गढ़ना	उकेरना
गड़बड़	गल़ती
गड़बड़	पुट्ठा कम्म
गड्ढा	छेद
गड्ढा	खात्तर
गड्ढा	खुआन्ना
गाना	गीत
गति	गत्त
गतिरोध	वयांग
गतिरोध	ठुल्ल
गतिविधि	कम्मकाज
गतिविधि	कम्मकार
गतिविधि	हालचाल
गद्दा	बिन्ना
गद्दा	गद्दा
गदा	गुर्ज
गदा	बुर्ज
गफलत	बैह्म
गफलत	जिड्डपण
गम	वसोस
गमछा	परना
गर्मागर्मी	झबड़ोणा
गांव	पिंड
गाजाबाजा	रौणकमेला
गाढ़ा	गूह्ढ़ा
गिरह	गट्ठ
गिर्द	चवक्खें
गूंथना	परोणा
गूंथना	बणाणा
गुच्छा	गुच्छू
गुजरना	लंघणा
गुजरना	टपणा
गुजरना	मरना
गुजारना	टपाणा
गुट	कट्ठपण
जबानचलाना	बत्तमीजी गल्ल करना
कुता	कुता
कुमारी	कुआरी
कुमुदिनी	लछमी  फुल्ल
कुर्ला	कुरल
कुर्सी	कुरसी
कुरान	कुराण
कुरू	करना
कुरेदना	सोचणा
कुंडी	धी
पत्र	चिट्ठी
ढोर	डंगर
नसीहत	सबक
पाई	पाई
पीडना	पीडीं देणा
अगर	जे
अवरुद्ध	रुकेया
अवरुद्ध	रुकियो
अगर	जेकर
वह	सै
अवरोहण	उतरना
अवलंबन	सहारा
अवलंबन	ढफैल
अगले	गांह
अवलोकन	दिक्खणा
अवश्य	ज़रूर
अवश्य	ज़रूरी
अवस्था	हालत
अवस्था	उमर
अवस्थित	बणेया
आवाज	उआज
आवाज	हक्क
आवाम	लोक
आवाम	जनता
अविकल	सांत
अविकारी	खरा
अविकारी	नरोगा
अविचल	टकाऊ
अभिषेक	पूजन
अभिजीत	जितेया
अविद्या	न्हेरा
अविद्या	अणपढ़ता
अविनाश	अमर
अविरल	लगातार
अविश्वास	सक
विश्वासी	भरोसेमन्द
अबीर	रंग
अभिव्यक्त	बोलेया
अभिव्यक्त	गलाया
अव्यवस्था	बद इंतज़ामी
अव्वल	उत्तम
अव्वल	बधिया
अशांत	परेसान
अशिक्षा	अनपढ़ता
अशुद्ध	गलत
शुद्ध	ठीक
शुद्ध	पवित्र
अश्रु	टेपल़े
अश्लील	बेहूदा
अखिलेश	सरबत्तर
अर्श	अंबर
अर्श	सुरग
अस्वस्थ	बमार
अष्ट	अठ
अष्टक	अठुआं
अष्टमी	अठवीं
अष्टादश	ठारह
असंख्य	अणगिणत
असंगत	बुरासाथ
असंतुष्ट	निरिहत्ता
असंतुष्ट	अणरज्ज
असंतोष	निरिहत्तापण
असंबद्ध	बेलाग
असंभव	नामुमकिन
असलियत	सचाई
अशक्त	कमज़ोर
असत्य	झूठ
असमंजस	बकल़ोण
असमय	बेटैमा
असमानता	ग़ैरबराबरी
असल	मूल़
असली	असली
असवार	पैदल
असवारी	पैदल
असहनीय	सहीनीसकणा
असहयोग	साथनीदेणा
असाड	हाड़
असाधारण	बेमसाल
असाध्य	नसूर
असामी	गाहक
असार	बेनतीजा
असीम	बेअंत
अशोक	बिणासदमेंते
अस्तबल	घुड़साल़
अस्थिर	ढुल़कदा
अस्पताल	हसपताल़
अस्पष्ट	धुंधला
अस्पृश्य	छूत
अस्मिता	मरजाद
हम	असां
अहाता	अंगण
आहार	खाणा
अहिंसा	बिणखूनखराबा
अहिंसा	सांति
हो	होये
आह्वान	बलावा
औंधा	मूंधा
औजार	ओजार
औकात	उकात
औपचारिक	बेतकल्लुफ
और	होर
औरत	जणास
औषध	दुआई
औषधालय	हस्पताल़
औषधि	दुआई
औसत	ओसत
कंकड़	गिट्टा
कंकड़	गिट्टू
कंगन	कंगण
कंगाल	कंगाल़
कंगाली	कंगाल़ी
कनक	गेहूँ
कनक	कणक
कंजूस	कंजूस
कंठ	गल़ा
कंडक्टर	कंडक्टर
कंपनी	कम्पणी
कंपाउंडर	कम्पोडर
कई	मते
कंबल	कंम्बल
कंबल	पट्टु
ककड़ी	काकड़ी
कक्षा	कलास
कख	कख
कचहरी	कचैहरी
कच्चा	कच्चा
कछुआ	कछुआ
कटना	कटोणा
कटवाना	कटवाणा
कटहल	कटहल
कटाई	कटाई
कटु	कौड़ा
कटोरा	कौल
कटोरा	कटोरू
कट्टर	कटर
कठपुतली	कठपुतल़ी
कोड़ा	कौड़ा
कड़क	कुरकुरा
कड़वा	कौड़ा
कडाई	सख्ती
कढ़ाई	कढ़ाही
कड़वा	कौड़ा
कब	काहलू
कदम	गैं
कदम	डग
कदम	पग
कदर	कदर
कदाचित	कदीवी
कदापि	कदीनी
कन्या	बिट्टी
कन्या	कुड़ी
कन्या	छोहरी
अंकित	लखोया
अंकित	लखोईयो
अंकुरण	उंगराओ
अंकुश	काबू
अंग	अंग
अंगड़ाई	व्याट
अंगन	अंगंण
अंगार	गारू
अंगार	अंगारू
अंगारा	अंगारा
अंगारी	चिलंग
अंगीकार	सज्जण
अंगीकार	साथी
अंगीकार	मितर
अंगुली	ओंगल़ी
अंगुली	उंगल़ी
अंगूर	अंगूर
अंगूठा	गूठा
अंगोछा	पड़तणी
अंगोछा	लगोटू
अंग्रेजी	अंग्रेजी
अंग्रेजी	इंगलिस
अंधड़	तफान
अंधड़	घट्टा
अंचल	ग्रोंचड़
अंचल	देहाती
अंजन	कज्जल़
अंजलि	चूल़ी
अंजीर	धूड़ा
जय	जै
श्री	सिरी
सुंदर	छैल़
सुंदर	बांका
सुंदर	बांकी
महमान	परोहणा
समधन	कुड़मणि
माँ	अमड़ी
पिता	बापू
पिता	बुहढ़ा
पिता	बब्ब
चाचा	चाचु
ताया	ताऊ
दादा	दादू
दादी	दादी
मौसी	मासी
बुआ	बूबी
फूफी	बूबी
बहन	बोबो
पत्नी	लाड़ी
पति	लाड़ा
पड़ोसी	पड़ेसी
पड़ोस	पड़ेस
पड़ोसन	पड़ोसण
पड़ोसन	पड़ेसण
झोंपड़ी	टप्परी
झोंपड़ा	टप्परू
देहरी	दरेहल़
दरवाजा	भित्त
दरवाजा	दराजा
खिड़की	दराजी
खिड़की	दुआरी
पौड़ी	पैड़ी
रास्ता	गोहर
खूंटा	खुंड
बरामदा	बरैंडा
बरामदा	बरांडा
आंगन	अंगण
बन्नी	अटल़ी
बन्नी	बनेर
वस्त्र	ओढण
कमीज़	कुर्ता
कमीज़	कुर्तु
पजामा	सुथणू
सलवार	सुत्थण
चुनरी	चादरू
शाल	पल़ोढ
बनियान	बनैन
गमछा	पड़तणी
वर्तन	भांडे
भगौना	पतीला
गड़बी	लोड़की
कढ़ाही	कढ़ाही
पलटा	तैंथू
संडासी	सणसी
कड़छी	कड़छी
कुकर	कुकर
चूल्हा	चुल्ल
चूल्हा	चुल्हड़ा
कल्मष	काल़ा
कलोल	मिठड़े बोल
परिचित	पणछोहदा
कवायद	कोसस
कविता	कवता
कशिश	कोसिस
कश्मीर	कसमीर
कश्मीरी	कसमीरी
कष्ट	दुःख
कसम	कसम
कृष्णा	मोहन
आहट	छेड़
कसर	कमी
कसरत	कसरत
कसना	बनणा
कसाई	बक्करबढ
कसीदा	कसीदा
कसूर	दोस
कसैला	तिक्खा
अकेलापन	किहल्ला
कसौटी	परख
कस्तूरा	कस्ट़ुंडा
कस्तूरी	कस्तूरी
कस्बा	कस्बा
कक्षा	कलास
कच्ची	कच्ची
कहां	कुथु
कहां	कुथे
कहां	कुतांहं
कहर	कहर
पहला	पहलका
वाला	वाल़ा
कहलाना	कुहाणा
कहवा	कैहवा
कहां	कुथु
कहां	कुथु
कहानी	कहाणी
कहा	गलाया
कहार	काहार
कहावत	काहाबत
कही	बोली
कहूं	गलाऊँ
काम	कम्म
कांगड़ा	कांगड़ा
कांगड़ी	कांगड़ी
कंगनी	कंगणी
कांचा	सीसा
कांजी	कांजी
कांटा	कंडा
कथा	कथा
कांड	कांड
कांति	रौणक
कांधा	मूंढा
काका	मुन्नु
काग	को
काग	कउआ
काग	कोवा
कागज	कागद
कागजात	कागजात
कागद	कागद
कांच	सीसा
कचनार	कराल़ीं
काजल	कज्जल़
काट	कटणा
काटना	कटणा
कार्टून	कार्टून
कार	कार
काठी	काठी
कतर	कुतर
कर्ता	कामा
काता	कतेया
कातिल	खूनी
कादंबरी	कदम्बरी
कान	कन्न
कान पकड़ना	कन्न पकड़ना
कान खोलना	कन्न खोलणा
कातिल	हत्यारे
कानखाना	कान खोलना
कान्हा	कनाडा
काफी	काफल
काफिया	काफिर
काफिराना	अत्याचारी
काफिला	कारवां
काफी	मता
काबा	काबिल
काबुल	काबल
काबुली	काबली
काबू	काबू
कामा	कामा
कामचोर	कमचोर
काम आना	कम्में औणा
कामुक	कामवासना वाल़ा
कामी	ठर्की ,कामवासना वाल़ा ।
काया	सरीर
कायदा	वर्णमाला की किताब
कायनात	अंबर
कायफल	कफल़
कायम	कायम
अपन	अपणा
कायल	मनणा
कायस्था	कास्थ
काया	सरीर
कार	देना
कारस्तानी	चालाकी
कारखाना	कारखाना
कारण	कारन
कारतूस	कारतूस
कारवां	काफला
कारिंदा	कामा
कारीगर	कारीगर
कारीगरी	कारीगिरी
कार्य	कम्म
कारोबार	कमकार
कार्तिक	कातिये दा
कार्तिकेय	कार्तिकेय
कार्य	कम
कार्यालय	दफतर
कार्यसूची	कम्मा दी लिस्ट
कार्यकारी	आरजी
कार्यक्रम	कमकार
कार्यपाल	कामा
कार्यभार	जिम्मेदारी
काल	मौत
कालापन	कलूटा
कालिंदी	जमना
कालिया	काल़िया
काली	काल़ी
कालीन	दरी
कालू	काल़ू
काल्पनिक	कल़पना
काव्या	कवता
काश	कास
काशी	कासु
काश्मीर	कसमीर
काहे	कजो
खींचतान	खिंजताण
खींचना	खिंजणा
खींचातानी	खिंजताण
खींचना	खिंजणा
खीर	खीर
खीरा	खीरा
फीस	फीस
हिस्सा	हेस्सा
खुजलाना	खुरकणा
खुजली	खुरक
खुद	अप्पू
खुदकशी	खुदकुसी
खुदगर्जी	सुआरथपण
खुदा	भगुआन
माना	मनेया
खुदा	भगुआन
खुदाई	खुणाई
खुफिया	गुपचुप
खोर	खोर
खुर	खुर
खुरचन	खुरचण
खूरचना	खुरचणा
खुरदरा	खुरदरा
खुरपा	खुरपा
खुराक	खराक
खुराफात	सरारत
खुराफाती	सरारती
खुराक	खराक
खुलना	खुलणा
खुला	खुल्ला
खर्च	खरच
खुश	खुस
खुशकिस्मत	लक्की
खुशकिस्मती	सुभाग्य
खुशखबरी	खरी खबर
खुशशदिल	खुसदिल
खुशबू	खुसबू मुसक
खुशबूदार	खुसबूदार
खुशहाल	खुसहाल
खुशहाली	खुसहाली
खुशामद	खसामद
खुशामदी	खसामदी
खुशी	खुसी
खुश्क	सुक्का
खुसरपुसर	गुणमुण
खूंटा	खुंड
खूंटी	कुण्डी
खून	लहू
खूनी	खूनी
खून	लोहू
पसीना	परसीना
खूब	खरा
खूब	बड़ा
खूब	बड्डा
खूबसूरत	छैल़
खूबसूरत	बांका
खूबसूरत	बांकी
खूबसूरती	छल़ैपा
खेत	थल़ू
खेतिहर	कसान
खेती  खेती	खेती-बाड़ी
खेद	अफसोस
जनक	जन्म देणे आल़ा
खेमा	टेंट
खेमा	टपरी
खेल	खेल
खेलकूद	खेलकुद
खेलना	खेलणा
खैर	सकुसल
खैरात	दान
खैरात	भिच्छया
खैराती	मंगता
खैरियत	सकुसल
खून	लोहू
खोखला	पोला
खोखलापन	खोखल़ा पण ,
खोज	तलास तोप
खोजी	तलास करने वाल़ा तोपणे आल़ा
खोजना	तोपणा
खोटा	नकली
खोजना	तोपणा
खोना	गुआणा
खोन्चा	तैंथू
खोपड़ी	टटरी
खोपड़ी	मुण्ड
खोया	खोआ दुधे दा काढ़ेया
खोलना	खोलणा
खौफ	डर
खौफ	भै
खोलना	खोलणा
खोलना	खोलणा
ख्याल	सोच
ख्याल	बचार
ख्वाब	सुपना
ख्वाहिश	इच्छा
गोरख	गोरख
गुर	गुर
गुरबत	गरीबी
गुरु	गुरु
गुरुत्व	गुरुत्व
गुज्जर	गुज्जर
गेंदा	गेंदा
गृहिणी	घरीणी
गेरुआ	गेरुआ
गोदना	गोदना लीखणा
गूगल	गूगल
गैर	पराया
गैरत	मान
गोत्र	गोतर
गोंद	गूंद
गोखरू	चांदिये दा गहणा  कंगण
गुजरा	बीतेया
गुड्डी	गुड्डी
गोत्र	वंस
गोरा	चिटड़ा चिट्टा
गुरु	गुरू
गोसाई	गुसाईं
गुहार	अर्ज
गौतम	गौतम
गो	गा
नागौर	नागौर राजस्थान का जिला
गौरव	शान
गौरैया	चिड़ि
ग्रंथ	पोथू
ग्रंथि	गठ्ठ
ग्रह	ग्रह
ग्राम	ग्रां
ग्राम में	ग्रायें च
ग्रास	ग्राह
ग्वालन	गुवाल़ी
घंटा	घंटा
घंटे	घंटे
घाघरा	घघरी
घाट कंढा	कनारा
घटक	अंग
घटना	घटणा
घठित होई,	होणा
घट	घड़ा
मकान	टपरु
घड़ियाल	घड़ियाल़
घन	घना
घर	घर
घनिष्ठ	लंगोटिया
घनेरा	गहरा
घपला घपल़ा	हेराफेरी
घबराना	घबराणा
घबराहट	डर
घमंड	घमंड
घमंडी	घमंडी
घमासान	घमासाण
घमरोड	घमरोल़
घबराहट	डर
घमौरी	पित्ती
घरबासा	घरबासा
घराल	घराल़
घरभेदी	घरभेदिया
जिद्दी	अड़ीमन
जिधर	जिस पासें
जिन	जिन्हां
जिन्ना	जितणा , मुस्लिम लीडर
जीव	जीऊ
जिमखाना	कलब
जिमाना	खुआणा
जिम्मा	जिम्मेदारी
जिम्मेदार	जिम्मेदार
जिया	जी मन
जिला	जिला
जिलाधारी	जिले वाल़ा
जिलाना	जिंदग़ी देणा
जल्द सताबी	जल्दी
जिल्लत	बेजती
जिला	जिला
जिस	जिस
जिस्म	सरीर
जिस्मानी	सरीरी
जिहाद	धर्मयुद्ध
जिह्वा	जीभ
जीजी	बैहण
जीमिचलाना	तबीत खराब होणा
जीचुराना	कमचोरी
जीछोटा	जी छोटा करना
जीखोलकर	दिल खोली
जीलगाना	दिल लगाणा
जीतोड़कर	पूरी मेहनत करी
जीखोलकर	दिल खोली
जीहटना	दिल दूर होणा
जीजा	बहणोई
जीजी	बहण
जीत	जित
जीतना	जितणा
जीता	जींदा
जीन	जीन
जीनत	जिंदगी
जीना	जीणा
जीभ	जीभ
जीमना	खाणा
जीरा	जीरा
जीवन	जीण
जीव	प्राणी
जीवन	जीवण
जीउण	जीवन
जीवाणु	कटाणु
जीवहत्या	जीव मारना
जीवधाम	आत्मा
जीवलोक	प्राणी जगत
जीवात्मा	प्राण
जीवाश्म	प्राण तत्व , कण
जीवंत	ज़िंदा जींदा
जीवनभर	ता उम्र
जीवनवृतांत	जीवनकथा
जीवन	मुक्त
जीवनी	जिंदगी दी कहाणी
जीविका	रुजगार
जीवित	जींदा
जुंबिश	हरकत झपकणा
जुआ	जुआ
जुआरी	जुआ खेलणे आल़ा
जुकाम	सर्दी
जोक	जोक
जुगत	तरकीब
जुगनी	जुगनी
जुगनी	जुगनी
जुगनू	जुगनूं
जुगाड़	जुगाड
जुगाड़	तरीका
जुगाली	चबाणा
जूझना	संघर्ष जदोज़हल
जुझारू	लड़ाका पण
जितना	जितणा
जोड़ना	जोड़ना मलाणा गठणा
जितना	जितणा
जुड़वा	जोड़ू
जुड़वाना	जुड़ाणा
जुड़ा	जुड़ा
जुड़ाना	जुड़वाणा
जूता	बूट
जुतना	जोतणा
जुताना	जुड़वाणा
जुदाई	जुदाई
जुतिया	जूती
जुदाई	बिछोह
जुनून	जुनून
जुमला	जुमला
जुम्मा	सुक्रवार
जुमेरात	सुक्रे दी रात
जुर्माना	जरमाना
जुराब	जराब
जुनूनियत	जुनून
जुलाई	सौण
जुलूस	जुलूस
जुल्फ	वाल़ लट
जुल्मी	जालिम
जुस्तजू	इच्छा
जूताचलाना	जूता मारना
जूताउछालना	बेज़ती करना
जूता पडना	जुते खाणा
जूता खोर	जूते चुराणे आल़ा
जतमपैजार	जट्टे मारना
जूती	जुती
जूतियाना	जूते मारना
छुपाई	लुकाई
जुलाई	सौण
दुधारू	दुधे आल़ी
दुविधा	दुबधा
दुव्र्यवहार	बुरा सलूक
दुबलापन	पतल़ा पण
दुविधा	असमंजस
दुष्ट	बुरा माहणू
दुष्प्रभाव	बुरा असर
दुस्साहस	जोखिम भरोया कम्म
दुहना	दूहणा
दुहाई	दुहाई
दूव	द्रुब
दूध	दुध
दूना	दुगणा
दभर	दूभर
दभर	मुसकल
दूर	दूर
दूरी	दूरी
दूरदर्शन	दूरदर्शन
दूरसंचार	दूरसंचार
दूरस्थ	दूर , दरेडें
दूरगामी	दरेडे तांईं
दूरगामी	दूरा तिक
दूरदर्शी	दूरे दी सोच रखणे आल़ा
दूरदराज	दरेडड़े
दूरदर्शिता	सुझबुझ
दूरबीन	दूरबीण
दूरभाष	टैलीफून
दूषण	खराब , मैलड़ा
दूषित	खराब , घटिया ,  मैली कचैली
दूसरा	दूआ
दूसरा	दूजा
दृष्टि	नजर
दृश्य	नजारा
दृष्टिकोण	नजरिया
दृढ़	मजबूत ,पक्का
दृढता	मजबूती
दृढतापूर्वक	मजबूतिया ने
देखना	दिक्खणा
देखरेख	दिक्ख भाल़
देखभाल	दिक्ख भाल़
देश	मुल्ख
देशभक्ति	देस भगती
देशद्रोह	गद्दारी
देन	देण
देना	देणा
देनदार	देणदार
देनदारी	देणदारी
देर	देर
देरी	देरी
देव	देओ
देवी	देवी
देवता	देवता
देश	देस
देशी	देसी
देह	काया
देहात	ग्रां
देहांत	मौत
देहाती	ग्रांयें दा
दैनिक	रोज का
दैत्य	दैत
दैवयोग	भगुआने दी मरजी
दैहिक	सरीरिक
दोगुना	दुगणा
दोगलापन	दोगलापण
दोगला	दोगला
दोतरफा	दू पासें
दोबारा	दबारा
दोनाली	दूनाल़ी
दोपहर	दपैहर
दोपहरी	दपैहरी
दोपहिया	दुपहिया
दोपाया	दो पैरा
दोमंजिला	दो मंजला
दोमुंहा	दमूहां
दोमुखी	दमुखी
दोरंगा	दूरंगा
दोष	दोस
दोषपूर्ण	दोस वाल़ा
दोषी	दोसी
दोषारोपण	दोस देणा
दोस्त	दोसत
दोस्ती	मितरता
दोस्ताना	दोसताना
दोहरा	दूहरा
दोहरी	दूहरी
दोहराना	धराणा
दौडना	दोड़ना
दौडाना	दड़ाणां
दौडभाग	दौड़ भाग
दौर	दौर
दौरान	दरान
दौलत	दौलत
दौलतमंद	पैसे वाल़ा
द्रविड़	द्रविड़
द्रोह	खलाफबर्जी
द्वितीय	दूजा
दम	हिम्मत
दयनीय	बुरी
दहशत	डर
दहशतगर्दी	दहसतगर्दी
दहशतगर्द	दहसतगर्द
दहाडना	दहाड़ना
दाग	धव्बा
दागदार	दागदार
दागना	दागणा
दागी	दागी
दागी	बदनाम
दाढ	दाढ़
अध्ययन	पढ़ाई
आनंद	अनन्द
अनंतिम	आखरी
अनंतर	पिच्छे
अनूपगढ़	इक्की
अंकगणित	स्हाब
अंगना	अंगण
अनचाहा	चाह्ना
अनजान	अणजाण
अनजाना	अणजाणेया
अनजानी	अणजाणी
अनदेखा	अणदेखी
अनपढ़	अणपढ़
अनपढ़ता	अणपढ़ता
आना	औणा
अपेक्षा	इलावा
अनबन	अणवण
अनमोल	अणमोल
अनभिज्ञ	अणजाण
अनभिज्ञता	अणजाणपणा
अनमोल	अणमुल्ला
अनार	अनार
अथक	अणथक
अनल	अग्ग
आवाज	उआज
अनवरत	लगातार
आरक्षण	आरक्षण
आनंद	नन्द
अनसुनी	अणसुणी
अनाहिता	सोहणी
आचार्य	अध्यापक
अनाचारी	अनाचारी
अनाड़ी	अनाड़ी
अनातुर	बेसवरा
अनाथ	अनाथ
अनादर	अनादर
अनादि	अनादि
अनावृत	अणढक्‌केया
अनार	अनार
अनारी	अनारे दे रंगे आळी
अनावृत	अणढक्‌केया
अनिद्रा	नीन्दरा
अनियमित	अणसोद्धा
अनिरुद्ध	रोक्या
अनिर्वचनीय	जिसदे वारे सबद नी होयै
अनिल	हौआ
अनिवार्य	जरूरी
अनिष्ट	अनिष्ट
अनीति	अनीति
अनुकंपा	किरपा
अनुकरण	मन्नणा
अनुकरणीय	मन्नणेजोगा
अनुकूल	अनुकूल
अनुकूलता	अनुकूलता
अनुकृति	तजुर्वा
अनुक्रमण	पिच्छे
अनुगमन	पिच्छै
अनुगामी	पिच्छै
अनुग्रह	किरपा
अनुग्रह	दया
अनुग्रही	किरपा पात्र
अनुचर	पिच्छैं चलणे आळा
अनुचित	अनुचित
अनुच्छेद	दफ़ा
